"","Sample_Name","Al","Si","P","S","K","Ca","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Ta","Hg","Pb","Th","U","LE","BD","Skeleton","pH","SOC"
"59","O2",3.081,19.48,0.355,NA,3.4745,0.62,0.1465,0.0184,NA,0.0295,1.313,NA,NA,0.0027,NA,0.0187,0.009,0.0039,0.0188,0.0017,0.001,NA,0.0049,NA,0.0018,0.0033,8e-04,71.42,1.455309735,45.556,4.5,0.714
"60","O23",2.9472,18.98,0.3496,NA,3.3531,0.6678,0.1833,0.0161,NA,0.0274,1.2857,NA,NA,0.0025,NA,0.0183,0.0097,0.0044,0.0266,0.002,8e-04,NA,0.0056,NA,0.0013,0.0038,9e-04,72.11,1.520530973,23.161,4.84,1.081
"61","O28",2.8501,19.81,0.3535,NA,3.287,0.5776,0.1263,NA,NA,0.0243,1.0896,NA,NA,0.0022,NA,0.0183,0.0083,0.0034,0.0164,0.0017,8e-04,NA,0.0045,NA,0.0015,0.0039,6e-04,71.82,2.108318584,39.466,5.31,0.759
"62","O38",2.9323,18.96,0.3342,NA,3.5138,0.6286,0.1413,0.0118,NA,0.0253,1.1397,NA,NA,0.002,4e-04,0.019,0.0092,0.0037,0.0156,0.0017,9e-04,NA,0.0054,NA,0.0012,0.0048,8e-04,72.25,1.538672566,37.892,6.38,0.414
"63","O45",2.8638,19.26,0.3483,NA,3.2792,0.6496,0.1616,NA,NA,0.0275,1.275,NA,NA,0.0025,3e-04,0.0188,0.0095,0.0042,0.0271,0.0017,8e-04,NA,0.0054,NA,0.0012,0.0041,8e-04,72.06,1.558761062,58.583,5.6,1.345
"64","O47",2.9703,20.16,0.3528,NA,3.2757,0.596,0.1452,NA,NA,0.0225,0.9674,0.0013,NA,0.002,NA,0.0174,0.0085,0.0047,0.0243,0.0017,9e-04,NA,0.0054,5e-04,0.0012,0.0046,8e-04,71.43,1.793274336,52.544,4.98,0.579
"65","O5",3.1117,19.16,0.3317,NA,3.6024,0.627,0.1506,NA,NA,0.023,1.0825,NA,NA,0.0021,NA,0.0189,0.0093,0.0031,0.0213,0.0014,9e-04,NA,0.0051,NA,0.0019,0.0039,5e-04,71.84,1.41539823,30.233,4.32,0.947
"66","O6",2.9704,20.08,0.3437,NA,3.4057,0.5358,0.139,0.0115,NA,0.0184,1.1167,NA,NA,0.0022,NA,0.0175,0.0083,0.0038,0.0249,0.0019,7e-04,NA,0.0046,NA,0.0014,0.0041,0.001,71.31,1.720530973,21.056,4.7,0.55
"67","O63",2.9292,19.7,0.3589,NA,3.48,0.5345,0.1124,0.0138,NA,0.0153,0.8036,NA,NA,0.0016,NA,0.0167,0.009,0.0032,0.0172,0.0014,6e-04,NA,0.0042,NA,0.0011,0.0028,6e-04,71.99,1.37539823,33.336,4.88,0.838
"68","O74",2.8614,20.13,0.3533,NA,3.4597,0.5156,0.0983,0.0194,NA,0.0183,0.8098,NA,NA,0.0017,NA,0.0172,0.0086,0.003,0.0219,0.0012,6e-04,NA,0.0035,NA,0.001,0.0032,6e-04,71.67,1.78619469,18.734,5.36,1.157
"69","O78",2.9588,20.05,0.3585,NA,3.5166,0.4539,0.1293,0.019,NA,0.0199,0.8408,NA,NA,0.0017,NA,0.0174,0.0079,0.0033,0.0181,0.0016,7e-04,NA,0.0046,NA,0.0015,0.004,5e-04,71.59,1.569469027,30.853,5.56,1.039
"70","O83",3.0865,19.1,0.3506,NA,3.2736,0.6698,0.1446,NA,NA,0.0275,1.4095,NA,NA,0.0025,NA,0.019,0.0092,0.0035,0.0257,0.0017,0.001,NA,0.005,NA,0.0016,0.0045,8e-04,71.86,NA,35.21,5.73,0.903
"71","O87",3.0482,19.9,0.3564,NA,3.4354,0.5765,0.1214,NA,NA,0.0253,1.0899,NA,NA,0.0021,NA,0.0182,0.0091,0.0031,0.014,0.0014,8e-04,NA,0.0044,NA,0.0014,0.0034,9e-04,71.39,1.717522124,44.406,5.34,0.759
"72","O89",2.9775,20.39,0.3645,NA,3.459,0.4763,0.1299,0.0129,NA,0.0202,0.8806,NA,NA,0.0015,3e-04,0.0166,0.009,0.0032,0.0254,0.0014,7e-04,NA,0.0042,NA,0.0012,0.0048,NA,71.22,1.683097345,37.54,6.66,0.746
"73","O96",2.9113,20.89,0.3595,NA,3.6936,0.3226,0.0749,NA,NA,0.0149,0.7178,NA,NA,0.0011,NA,0.0171,0.0078,0.0021,0.0071,0.001,6e-04,NA,0.0045,NA,9e-04,0.0032,6e-04,70.97,1.80539823,49.005,5.98,1.678
"74","P23",2.7208,17.97,0.3253,NA,2.9592,1.0645,0.1744,0.0112,NA,0.0317,1.6549,NA,NA,0.0034,5e-04,0.0201,0.0095,0.005,0.0191,0.002,9e-04,NA,0.0064,NA,0.002,0.004,0.0012,73.01,1.535,15.036,4.67,1.101
"75","P26",2.6742,19.8,0.3929,NA,2.7776,1.063,0.1662,0.0112,NA,0.0251,1.4024,NA,NA,0.0026,NA,0.0174,0.009,0.0056,0.0303,0.0021,8e-04,NA,0.0059,5e-04,0.0021,0.0054,0.0011,71.6,1.416,5.218,4.83,0.736
"76","P37",2.8405,18.8,0.3663,NA,2.9885,1.0668,0.1934,NA,NA,0.0272,1.5633,0.0013,NA,0.0033,NA,0.0195,0.0092,0.0053,0.0263,0.0021,9e-04,NA,0.0052,NA,0.0025,0.0038,0.0011,72.07,1.718,14.181,4.52,4.384
"77","P39",2.8792,16.74,0.3752,NA,2.8159,1.263,0.2099,NA,NA,0.0438,2.2183,NA,NA,0.0049,NA,0.0226,0.0101,0.0063,0.0297,0.0024,7e-04,NA,0.006,NA,0.0031,0.0043,0.0013,73.37,0.984,20.226,4.7,3.63
"78","P47",3.2195,19.99,0.3788,NA,3.4446,0.8758,0.124,0.0136,NA,0.0255,1.2253,0.0014,NA,0.0026,NA,0.0195,0.0089,0.0043,0.0172,0.0013,7e-04,NA,0.0061,NA,0.0019,0.0036,0.0011,70.63,1.933,23.041,5.7,0.178
"79","P57",3.1647,19.51,0.3758,NA,3.3435,1.0015,0.1323,0.0104,NA,0.0312,1.3246,0.0016,NA,0.0029,NA,0.0206,0.0094,0.0045,0.0164,0.0014,8e-04,NA,0.0061,NA,0.0019,0.005,7e-04,71.04,1.794,22.752,5.73,0.304
"80","P59",2.9327,19.2,0.3705,NA,3.1374,0.9888,0.1411,0.0126,NA,0.0314,1.5738,0.0014,NA,0.003,4e-04,0.0203,0.0092,0.0053,0.0178,0.0017,6e-04,NA,0.0055,6e-04,0.0018,0.0039,6e-04,71.54,1.496,28.457,5.38,0.34
"81","P61",2.9453,18.92,0.3782,NA,3.0776,1.0803,0.1743,0.0104,NA,0.032,1.5958,NA,NA,0.0032,NA,0.0198,0.0091,0.0053,0.0218,0.002,6e-04,NA,0.006,NA,0.002,0.0049,0.0012,71.71,2.248,16.582,4.57,1.248
"82","P62",3.0579,19.04,0.3614,NA,3.271,0.9297,0.1332,0.0145,NA,0.0284,1.3899,NA,NA,0.0027,NA,0.0201,0.0092,0.0047,0.0196,0.0016,7e-04,NA,0.0061,NA,0.0023,0.0043,0.0012,71.7,1.85,20.994,5.44,0.481
"83","P72",2.8165,18.9,0.3692,NA,3.0765,1.0082,0.1574,NA,NA,0.0281,1.5082,NA,NA,0.003,4e-04,0.02,0.0092,0.0056,0.0312,0.0019,0.0011,NA,0.0063,5e-04,0.0017,0.0055,0.001,72.05,2.073,24.88,5.74,0.19
"84","P84",2.9859,19.53,0.3548,NA,3.2967,0.9813,0.146,NA,NA,0.0257,1.3296,NA,NA,0.0023,NA,0.0203,0.009,0.005,0.0163,0.0019,0.001,NA,0.0056,NA,0.0016,0.0051,NA,71.28,1.554,16.718,6.23,0.159
"85","P87",3.0095,19.51,0.3424,NA,3.2147,1.0255,0.155,0.0121,NA,0.0282,1.37,NA,NA,0.0026,NA,0.02,0.0093,0.0046,0.0155,0.0018,9e-04,NA,0.0054,NA,0.0016,0.0041,9e-04,71.26,1.56,18.317,6.39,0.182
"86","P98",2.6527,18.11,0.3087,NA,3.0329,1.089,0.1875,NA,NA,0.0376,2.1179,NA,NA,0.0042,4e-04,0.0237,0.0093,0.0053,0.0235,0.0025,0.0013,NA,0.0057,5e-04,0.0018,0.0052,0.0012,72.38,1.806,25.83,5.92,0.195
"87","S1-11",3.1714,15.73,0.3277,0.0327,2.9646,1.9489,0.3619,0.062,NA,0.0798,3.2258,0.0032,NA,0.0065,0.004,0.0142,0.0142,0.0037,0.0159,0.0014,0.0012,NA,0.0052,NA,0.003,0.0039,NA,72.01,1.948495575,46.47,8.4,0.843
"88","S1-13",3.3332,18.3,0.3395,NA,3.1875,0.7819,0.2458,0.0262,NA,0.0466,2.3107,0.0014,NA,0.0036,0.0019,0.0147,0.0083,0.004,0.0162,0.0012,0.0012,NA,0.0048,NA,0.0019,0.0036,7e-04,71.37,2.145752212,48.35,8.69,0.696
"89","S1-17",4.0591,15.26,0.3805,NA,2.8062,0.983,0.463,0.0519,0.0051,0.0593,4.9225,0.0027,NA,0.012,0.004,0.0131,0.0147,0.0034,0.0199,0.0014,6e-04,NA,0.0066,NA,0.0051,0.0025,7e-04,70.92,1.450530973,42.946,8.32,1.255
"90","S1-18",3.8083,16.84,0.3655,NA,3.0443,1.0325,0.3548,0.0375,NA,0.0585,3.234,0.0014,NA,0.0057,0.0021,0.0136,0.0112,0.0029,0.0143,0.0014,9e-04,NA,0.0057,NA,0.0021,0.0031,6e-04,71.16,1.947522124,59.05,8.42,0.734
"91","S1-19",2.9514,14.02,0.3187,NA,2.0086,5.412,0.3209,0.0269,NA,0.0723,3.6727,0.0029,NA,0.0076,0.0035,0.0105,0.0195,0.0029,0.0178,0.0012,9e-04,NA,0.0047,NA,0.0029,0.0028,NA,71.12,1.777256637,24.727,8.45,0.895
"92","S2-03",3.3366,19.58,0.3282,NA,3.6354,0.5486,0.1521,0.0227,NA,0.044,1.5614,NA,NA,0.0024,0.0012,0.017,0.006,0.0032,0.0108,0.0012,9e-04,NA,0.0052,NA,0.0021,0.0027,NA,70.74,1.868761062,35.586,8.09,0.471
"93","S2-06",3.1291,16.77,0.3318,NA,2.7282,2.6355,0.268,0.0336,NA,0.0536,2.5543,0.002,NA,0.0045,0.0023,0.0129,0.0138,0.0034,0.0172,0.0012,0.0011,NA,0.0045,NA,0.0019,0.0029,NA,71.43,1.594247788,45.052,8.07,0.57
"94","S2-13",3.5854,16.64,0.3962,NA,2.2306,0.4168,0.4022,0.0251,NA,0.0426,3.5745,0.0026,NA,0.0073,0.0053,0.0104,0.0128,0.0029,0.0224,0.0013,9e-04,NA,0.0053,NA,0.0024,0.0027,NA,72.61,1.475044248,19.352,7.6,0.843
"95","S2-14",4.3951,15.74,0.3667,NA,3.0142,0.2592,0.4291,0.0336,NA,0.0523,4.2801,0.0028,NA,0.0094,0.0055,0.0153,0.0093,0.0035,0.0214,0.0018,0.001,NA,0.0065,NA,0.0027,0.0026,NA,71.35,NA,42.961,6.82,1.919
"96","S2-16",3.9717,14.8,0.3553,NA,2.7445,0.75,0.4686,0.0361,NA,0.0653,4.8221,0.0043,NA,0.0114,0.0067,0.0133,0.0133,0.0037,0.0204,0.0017,0.0011,NA,0.0063,NA,0.0038,0.0036,NA,71.9,1.486106195,33.351,8.05,0.71
"97","S2-17",3.1485,16.36,0.3714,NA,2.4061,2.3396,0.33,0.0365,0.0057,0.0542,3.341,0.0034,NA,0.0065,0.0036,0.0117,0.0141,0.0031,0.0174,0.0012,8e-04,NA,0.0048,NA,0.0026,0.0024,0.001,71.54,1.68079646,39.82,8.2,0.783
"98","S3-06",3.1597,19.67,0.3406,NA,3.3392,0.1679,0.1447,0.0194,NA,0.0286,1.5508,NA,NA,0.0026,0.0013,0.0156,0.0058,0.0027,0.0092,0.001,0.001,NA,0.0045,NA,0.002,0.0028,NA,71.53,1.598849558,30.139,5.63,0.833
"99","S3-07a",3.4409,17.27,0.3597,NA,2.5003,0.3361,0.3054,0.0273,NA,0.0308,2.7094,0.0029,NA,0.0045,5e-04,0.0119,0.0104,0.0032,0.0233,0.0013,6e-04,NA,0.0061,NA,0.0015,0.0027,NA,72.95,1.769026549,51.718,6.06,1.681
"100","S3-12",3.1219,18.53,0.3631,NA,2.9079,0.4365,0.2253,0.0209,NA,0.0399,2.1196,0.0019,NA,0.0039,0.0021,0.0134,0.008,0.0037,0.0178,0.0015,9e-04,NA,0.0052,NA,0.0017,0.0026,6e-04,72.17,1.718672566,38.627,7.21,1.029
"101","S3-17",3.2427,18.68,0.3516,NA,3.6548,0.1703,0.1696,0.02,NA,0.0387,1.7982,0.0016,NA,0.0035,0.0014,0.0181,0.0048,0.0035,0.012,0.0012,8e-04,NA,0.0046,NA,0.0034,0.0031,NA,71.81,1.452123894,13.619,5.82,1.071
"102","S3-18",3.9915,15.64,0.3752,NA,2.6247,0.3093,0.4408,0.0275,0.0046,0.0586,4.5892,0.0036,NA,0.01,0.0059,0.013,0.0113,0.004,0.0239,0.0013,8e-04,NA,0.0063,NA,0.0042,0.0034,NA,71.85,1.438230088,47.884,6.62,2.281
"103","S3-20",3.8829,17.3,0.4185,NA,2.5036,0.2635,0.3896,0.0325,NA,0.0489,3.8799,0.0026,NA,0.0079,0.0053,0.0124,0.0107,0.0028,0.0192,0.0015,6e-04,NA,0.0058,NA,0.0024,0.0019,5e-04,71.21,1.716548673,69.54,6.86,1.762
"104","T105",2.6937,18.74,0.4028,NA,2.8033,0.9703,0.1628,0.0112,NA,0.0288,1.5472,NA,NA,0.0033,9e-04,0.0184,0.0096,0.0052,0.0282,0.0021,9e-04,0.0029,0.0055,NA,0.0021,0.0046,0.0011,72.56,1.82,11.495,5.89,0.327
"105","T20",3.429,17.97,0.3783,NA,3.3545,0.7176,0.1774,0.0135,NA,0.027,1.9864,NA,NA,0.0041,0.0052,0.0194,0.0098,0.0042,0.0196,0.0015,8e-04,NA,0.0064,NA,0.0031,0.0035,7e-04,71.86,1.511,20.757,4.47,0.727
"106","T25",3.1374,18.77,0.3822,NA,3.1775,0.8012,0.1588,NA,NA,0.0349,1.7738,NA,NA,0.0041,0.001,0.0202,0.0102,0.0043,0.016,0.0015,6e-04,NA,0.0062,NA,0.0023,0.0042,8e-04,71.7,1.357,20.86,4.82,0.739
"107","T27",3.0167,18.33,0.3766,NA,3.3952,0.7648,0.1447,0.0148,NA,0.0301,1.6102,NA,NA,0.0036,0.0013,0.021,0.0097,0.0046,0.0172,0.0017,0.0011,NA,0.0061,NA,0.0023,0.0044,9e-04,72.24,1.588,23.53,5.15,0.582
"108","T28",3.1144,18.45,0.3739,NA,3.4711,0.7055,0.1346,NA,NA,0.024,1.4028,NA,NA,0.0043,0.0017,0.0206,0.0101,0.0066,0.0144,0.0015,8e-04,NA,0.0059,5e-04,0.0021,0.0038,7e-04,72.25,1.646,16.838,5.6,0.53
"109","T31",3.0963,18.04,0.37,NA,3.2067,0.8303,0.1647,0.0167,NA,0.0361,1.7682,NA,NA,0.0036,7e-04,0.0214,0.0105,0.0045,0.0168,0.0017,0.001,NA,0.0053,NA,0.0025,0.0043,9e-04,72.4,1.677,22.207,5.42,0.475
"110","T41",3.3366,17.27,0.4015,NA,3.6156,0.7418,0.1901,NA,NA,0.0292,2.0962,NA,NA,0.0046,0.0045,0.0227,0.0079,0.0049,0.0225,0.0017,9e-04,NA,0.0066,6e-04,0.003,0.0054,0.0011,72.23,1.527,29.821,4.99,0.565
"111","T42",2.9869,18.22,0.3797,NA,3.1369,0.9137,0.1526,0.0169,NA,0.0303,1.5846,NA,NA,0.003,4e-04,0.0199,0.01,0.0048,0.0197,0.0018,7e-04,NA,0.0053,5e-04,0.0018,0.0039,0.0011,72.51,1.804,22.634,5.9,0.512
"112","T45",3.2723,18.15,0.3956,NA,3.4095,0.8522,0.1764,0.0154,NA,0.0347,1.9448,NA,NA,0.0045,0.0023,0.0233,0.0101,0.0051,0.0174,0.002,9e-04,NA,0.0058,5e-04,0.0025,0.004,9e-04,71.67,1.905,20.61,5.74,0.466
"113","T53",3.2435,17.94,0.3651,NA,3.5225,0.7434,0.1504,0.0136,NA,0.029,1.5827,NA,NA,0.0034,0.0017,0.0214,0.0095,0.0045,0.0153,0.0016,7e-04,NA,0.0052,NA,0.0021,0.0033,0.0011,72.34,1.593,33.106,5.54,0.335
"114","T56",3.109,18.1,0.3842,NA,3.4142,0.8687,0.1692,0.02,NA,0.0332,1.694,NA,NA,0.0038,0.0014,0.0216,0.0104,0.0048,0.0192,0.0018,9e-04,0.003,0.0059,NA,0.0021,0.0048,9e-04,72.13,1.873,20.551,5.51,0.395
"115","T66",3.0061,17.58,0.3399,NA,3.1132,0.7805,0.1625,0.0135,NA,0.0351,1.8463,0.0015,NA,0.0043,0.0014,0.021,0.0097,0.0056,0.0198,0.0018,9e-04,NA,0.0057,NA,0.0026,0.0044,0.0011,73.04,1.811,24.89,5.36,0.668
"116","T69",NA,NA,NA,NA,NA,NA,0.1349,NA,NA,0.0256,1.4356,NA,NA,0.003,NA,0.0181,0.0112,0.0042,0.0203,0.0017,NA,NA,0.0053,NA,0.0026,0.0045,0.0015,98.3315,2.126,17.317,5.99,0.495
"117","T74",3.1161,18.96,0.3893,NA,3.1697,0.8535,0.1697,NA,NA,0.0291,1.5971,0.0012,NA,0.0041,0.001,0.0198,0.0103,0.0048,0.0191,0.0016,9e-04,0.0029,0.0062,6e-04,0.0024,0.0041,0.001,71.63,2.242,20.12,5.61,0.306
"118","T99",3.1549,17.74,0.3634,NA,3.1916,0.7471,0.1821,0.015,NA,0.031,1.8934,0.0016,NA,0.0051,0.0026,0.0209,0.009,0.0045,0.015,0.0019,0.001,NA,0.0061,NA,0.0026,0.0043,9e-04,72.61,1.688,17.759,5.37,0.812
"119","U1-01",2.8928,14.43,0.3562,0.4408,1.1736,0.2304,0.4239,0.0113,NA,0.0065,7.3978,NA,NA,0.004,0.0057,0.0064,0.008,0.0029,0.0393,0.0019,9e-04,NA,0.0051,NA,0.0027,0.0026,6e-04,72.55,1.659817699,43.577,2.94,1.781
"120","U1-02",4.4778,13.6,0.4013,0.4428,1.3509,0.5385,0.572,0.0192,NA,0.0135,7.226,NA,NA,0.0072,0.0033,0.0088,0.0105,0.0033,0.0294,0.0022,8e-04,NA,0.0084,NA,0.0034,0.003,NA,71.27,1.815592035,38.346,2.92,1.424
"121","U1-05",3.7868,12.22,0.3301,0.4347,1.3022,0.5756,0.5369,0.0216,0.0049,0.0126,7.188,NA,NA,0.0073,0.0041,0.0091,0.0111,0.0038,0.027,0.0023,0.0013,NA,0.008,NA,0.0035,0.0038,NA,73.51,1.60699823,55.639,3.23,1.315
"122","U1-06",3.6446,14.39,0.3472,0.3695,1.2433,0.3415,0.4774,0.0164,NA,0.0151,5.9889,NA,NA,0.0051,0.0049,0.0077,0.0098,0.0031,0.0308,0.0021,0.0011,NA,0.0072,NA,0.0027,0.0032,NA,73.08,1.806692035,46.759,2.91,0.931
"123","U1-07",2.4919,18,0.3461,0.0619,1.1265,0.1377,0.4126,NA,NA,0.0113,4.5586,NA,NA,0.0028,0.0055,0.005,0.0064,0.0025,0.0453,0.0017,8e-04,NA,0.0042,NA,0.0016,0.0029,NA,72.78,1.580789381,34.711,3.93,0.882
"124","U2-03",3.9452,15.48,0.4056,0.2533,1.2919,0.3126,0.4873,0.0147,0.0038,0.0144,5.9073,NA,NA,0.0048,0.0069,0.0073,0.0088,0.003,0.0309,0.0021,7e-04,NA,0.0068,NA,0.003,0.0027,NA,71.8,1.468723894,35.635,3.14,0.932
"125","U2-04",3.9188,13.86,0.403,0.3674,1.2788,0.3884,0.5232,0.0206,NA,0.0089,7.2915,NA,NA,0.0071,0.0049,0.0081,0.0096,0.0034,0.0289,0.0021,6e-04,NA,0.0073,NA,0.0036,0.0023,7e-04,71.86,1.661442478,63.617,3.63,1.565
"126","U2-05",3.9531,14.77,0.3791,0.2053,1.3364,0.3783,0.5377,0.0121,NA,0.0161,6.273,NA,NA,0.0055,0.0055,0.0081,0.0088,0.0031,0.0305,0.0022,8e-04,NA,0.007,NA,0.0033,0.0034,6e-04,72.06,1.469043363,37.283,3.89,1.039
"127","U2-18",4.1886,13.88,0.3995,0.365,1.3645,0.384,0.5123,0.0102,NA,0.0074,7.8465,NA,NA,0.0065,0.0061,0.0088,0.0097,0.0032,0.0296,0.0022,7e-04,NA,0.0075,NA,0.0034,0.0029,NA,70.97,1.698661947,51.15,3.15,1.574
"128","U2-20",3.9341,12.54,0.3627,0.3797,1.3404,0.3888,0.5073,0.0168,NA,0.0077,7.7562,NA,NA,0.0067,0.0056,0.0092,0.0106,0.0041,0.0263,0.0022,0.0011,NA,0.0072,NA,0.0031,0.0036,NA,72.69,1.643239823,48.525,3.29,10.679
